city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Karachi,2026-04-20,0x8716899156d20c488fa8d252d75c62091de98e8b449a21488dbad9277d14af6a,33,33,exact,1776670499,34,-1,above_obs,NO,0.96,0.96,0.01,0.999,1776670570,profit-take,1,104.17,4.06,115,37
Taipei,2026-04-18,0x7cc97a7f345dc576b31e8b609358d7de240a62e7d1d9eeebf6123c98405bd76e,25,25,exact,1776474299,26,-1,above_obs,NO,0.95,0.95,0.09,0.999,1776477400,profit-take,52,105.26,5.16,67,39
Lagos,2026-04-14,0x2831738e034bd00c4c31000f36f094b0ce7c6570d4cca765b424e0efd2819ba9,31,31,exact,1776157499,32,-1,above_obs,NO,0.964,0.964,0.031,0.999,1776157853,profit-take,6,103.73,3.63,1222,9
Seoul,2026-03-28,0xec9642b6cd9094b859de879b78b3e57a317a86b16bdde225a3995b862b13ee3e,10,10,exact,1774665299,11,-1,above_obs,NO,0.958,0.958,0.0735,0.999,1774668633,profit-take,56,104.38,4.28,8,138
Buenos Aires,2026-04-21,0x02b5b68fdd5e4c9b46f692c1478acc977ea31c245033c6503c98ebb19e712478,20,20,exact,1776751799,21,-1,above_obs,NO,0.9594,0.9594,0.0584,0.999,1776794640,profit-take,714,104.23,4.13,21,195
Buenos Aires,2026-04-21,0xa360eafc75cf053aaf67eee412f739d91cef7cdca40c456ac2fe8c8e11f93a66,19,19,exact,1776774299,21,-2,above_obs,NO,0.966,0.966,0.034,0.999,1776783838,profit-take,159,103.52,3.42,133,19
Seoul,2026-04-02,0x968b5604e92616a135ea545ddcd86fe98fcc595d34efcf97bb835430b48e1946,12,12,exact,1775095499,13,-1,above_obs,NO,0.9626,0.9626,0.04,0.999,1775096925,profit-take,24,103.89,3.78,6,176
Taipei,2026-04-21,0x03b53b9ab623970605d6ae8030f9551138726c77a8c73936084000b2a572377e,28,28,exact,1776735299,29,-1,above_obs,NO,0.97,0.97,0.04,0.999,1776736934,profit-take,27,103.09,2.99,91,29
Buenos Aires,2026-04-15,0xcc9a0ca45f228ea28b057a303893a6608872c42dcce6d228c657c06f6ba244e3,21,21,exact,1776256499,22,-1,above_obs,NO,0.9697,0.9697,0.039,0.999,1776265440,profit-take,149,103.13,3.02,251,6
Karachi,2026-04-15,0x05870546523804c4d2fae48fc7fd0d0127b07c0f905c1b0779601da71acf3963,29,29,exact,1776229426,30,-1,above_obs,NO,0.9698,0.9698,0.15,0.999,1776247964,profit-take,309,103.11,3.01,28,9
Karachi,2026-04-15,0xbe5a7e624a723acbe1d225fa51f6b196dd49acbee88da1b2893a31642811a30f,32,32,exact,1776238126,33,-1,above_obs,NO,0.9699,0.9699,,0.999,1776238532,profit-take,7,103.1,3,14,2
Karachi,2026-04-15,0x0c2f5c480bb4813298f54c4698471a9543f12d15705f5331d67e6e288a333c2d,33,33,exact,1776238426,34,-1,above_obs,NO,0.9614,0.9614,0.14,0.999,1776239138,profit-take,12,104.01,3.91,46,5
Buenos Aires,2026-03-29,0xa8ec14da2014e74e063ff443320f93927fd288c51e96cef14fb4be537b265413,24,24,exact,1774790099,25,-1,above_obs,NO,0.951,0.951,0.049,0.999,1774793774,profit-take,61,105.15,5.05,5,88
Lagos,2026-04-18,0x5d85c0aaa5fc105ccf8b5316b764edbde2ffc4632f4a4cd0fe6717e380ea5165,33,33,exact,1776518099,34,-1,above_obs,NO,0.9544,0.9544,0.0648,0.999,1776534320,profit-take,270,104.77,4.67,165,135
Lagos,2026-04-18,0x455de2b8f678119b2dabbbd7e3ec412af3a370f22b730e4cc445d470b159c5a0,32,32,exact,1776527999,34,-2,above_obs,NO,0.97,0.97,0.0675,0.999,1776534318,profit-take,105,103.09,2.99,119,106
Toronto,2026-03-20,0xa9585a4e964cd186a3817422dcb2faa1673d78672e5518af09685072c857f55c,3,3,exact,1774027499,4,-1,above_obs,NO,0.969,0.969,0.064,0.999,1774033297,profit-take,97,103.2,3.1,86,59
Lagos,2026-04-22,0xfa2d5783ce7bc723152752a1092a863045249d48eeadc2d4ed01cf94697240f2,31,31,exact,1776852299,33,-2,above_obs,NO,0.965,0.965,0.068,0.999,1776852630,profit-take,6,103.63,3.52,2459,107
Lagos,2026-04-16,0x954e8a8d9ba0d3f055cbe3032efdeae98ab7940cbea09266a249e067c32bcc86,29,29,exact,1776344699,30,-1,above_obs,NO,0.966,0.966,0.065,0.999,1776345038,profit-take,6,103.52,3.42,435,52
Lagos,2026-04-16,0x6f91f05e64c0a2557c3cf7e8f0b32bc3fa31988be544d73dbe79455889d353f0,30,30,exact,1776348599,31,-1,above_obs,NO,0.95,0.95,0.2071,0.999,1776348638,profit-take,1,105.26,5.16,33,29
Panama City,2026-04-17,0x68dcc59ec17e11efe87f5e11f00abeaca79c1b6b6a4777124bc2257bebedc077,32,32,exact,1776441899,33,-1,above_obs,NO,0.95,0.95,0.08,0.999,1776445016,profit-take,52,105.26,5.16,189,94
Cape Town,2026-04-20,0x1735d39497d7e3f7e125eedee780fa8df177bcf54f7c7b0129d003d7411327f9,16,16,exact,1776677699,17,-1,above_obs,NO,0.9565,0.9565,0.19,0.999,1776677978,profit-take,5,104.55,4.45,5,22
Seoul,2026-03-27,0x71c0defdfc97854c582bf385df30302d1ac2743ea8efed613ccd5bdda3a0954f,10,10,exact,1774580699,11,-1,above_obs,NO,0.966,0.966,0.032,0.999,1774582491,profit-take,30,103.52,3.42,4,209
Tokyo,2026-04-03,0x0b8e1d5efbf87e51776f092385dfd100ee2f8f3766e3af2e41b018485deaca95,18,18,exact,1775183699,19,-1,above_obs,NO,0.97,0.97,0.01,0.999,1775183921,profit-take,4,103.09,2.99,68,202
Kuala Lumpur,2026-04-18,0xcfda381989a03dc285ee7278d23c4790aa4327cdfc77037106cb227e7621024d,31,31,exact,1776486899,32,-1,above_obs,NO,0.969,0.969,0.04,0.999,1776487110,profit-take,4,103.2,3.1,19,89
Paris,2026-04-19,0x682b3f760a0420f13ae792bd0c193f547436a87846d06aacac6b76862f87aaee,16,16,exact,1776603899,17,-1,above_obs,NO,0.954,0.954,0.0464,0.999,1776605488,profit-take,26,104.82,4.72,9,245
Kuala Lumpur,2026-04-20,0x8d3026e533359448ce23b02be28aa9d78297fa2859a560bc25779f0dd0cc3f8e,31,31,exact,1776654299,32,-1,above_obs,NO,0.95,0.95,0.101,0.999,1776654492,profit-take,3,105.26,5.16,99,80
