city,date,icao,kind,winBucket,omMax,metarMax,omRounded,metarRounded,omAgrees,metarAgrees,delta
Warsaw,2026-03-29,EPWA,exact,17,16.4,17,16,17,false,true,-0.6
Lagos,2026-04-13,DNMM,exact,35,32.2,35,32,35,false,true,-2.8
Tel Aviv,2026-03-29,LLBG,exact,22,22.4,22,22,22,true,true,0.4
Guangzhou,2026-04-19,ZGGG,exact,33,30.8,33,31,33,false,true,-2.2
Helsinki,2026-04-18,EFHK,exact,12,15.2,12,15,12,false,true,3.2
Toronto,2026-03-31,CYYZ,exact,8,16.6,18,17,18,false,false,-1.4
Tokyo,2026-04-07,RJTT,exact,19,22.7,19,23,19,false,true,3.7
Wellington,2026-04-11,NZWN,exact,20,20.8,20,21,20,false,true,0.8
Moscow,2026-04-20,UUEE,exact,5,8.6,5,9,5,false,true,3.6
Seattle,2026-04-19,KSEA,exact,62,18.8,23.33,19,23,false,false,-4.53
Sao Paulo,2026-04-18,SBGR,exact,30,29.5,30,30,30,true,true,-0.5
Manila,2026-04-15,RPLL,exact,35,34.3,35,34,35,false,true,-0.7
Ankara,2026-04-20,LTAC,exact,14,16.6,14,17,14,false,true,2.6
Mexico City,2026-04-12,MMMX,exact,23,24.8,26,25,26,false,false,-1.2
Wuhan,2026-04-17,ZHHH,exact,27,26.4,27,26,27,false,true,-0.6
Shanghai,2026-04-20,ZSPD,exact,19,22,19,22,19,false,true,3
Sao Paulo,2026-04-07,SBGR,exact,28,27.9,28,28,28,true,true,-0.1
London,2026-04-18,EGLL,exact,16,17.6,18,18,18,false,false,-0.4
Madrid,2026-04-06,LEMD,exact,25,26.4,25,26,25,false,true,1.4
Sao Paulo,2026-04-09,SBGR,exact,27,25.2,27,25,27,false,true,-1.8
Beijing,2026-04-12,ZBAA,exact,27,26.4,27,26,27,false,true,-0.6
Tokyo,2026-04-13,RJTT,exact,23,23.5,23,24,23,false,true,0.5
Chengdu,2026-04-20,ZUUU,exact,24,28.6,24,29,24,false,true,4.6
Tel Aviv,2026-04-15,LLBG,exact,35,35.7,35,36,35,false,true,0.7
Tel Aviv,2026-04-21,LLBG,exact,22,21.4,22,21,22,false,true,-0.6
Warsaw,2026-04-21,EPWA,exact,14,16.4,14,16,14,false,true,2.4
Tel Aviv,2026-04-19,LLBG,exact,24,25.3,24,25,24,false,true,1.3
Shenzhen,2026-04-19,ZGSZ,exact,29,30.6,30,31,30,false,false,0.6
Moscow,2026-04-19,UUEE,exact,4,10.2,4,10,4,false,true,6.2
Jeddah,2026-04-19,OEJN,exact,38,39.5,38,40,38,false,true,1.5
Istanbul,2026-04-13,LTFM,exact,12,16.6,12,17,12,false,true,4.6
Amsterdam,2026-04-13,EHAM,exact,14,14.2,14,14,14,true,true,0.2
Tel Aviv,2026-03-27,LLBG,exact,19,22.4,19,22,19,false,true,3.4
Amsterdam,2026-04-14,EHAM,exact,15,18.1,15,18,15,false,true,3.1
Istanbul,2026-04-14,LTFM,exact,13,18.4,13,18,13,false,true,5.4
Beijing,2026-04-18,ZBAA,exact,27,25.2,27,25,27,false,true,-1.8
Houston,2026-04-18,KIAH,exact,84,28,27.78,28,28,false,false,0.22
Buenos Aires,2026-04-17,SABE,exact,25,27,26,27,26,false,false,1
Chongqing,2026-04-16,ZUCK,exact,25,25.1,25,25,25,true,true,0.1
Singapore,2026-04-18,WSSS,exact,34,33.4,34,33,34,false,true,-0.6
Milan,2026-04-15,LIMC,exact,22,22.7,22,23,22,false,true,0.7
Shanghai,2026-04-09,ZSPD,exact,29,27.8,29,28,29,false,true,-1.2
Chicago,2026-04-13,KORD,exact,74,26.9,25.56,27,26,false,false,1.34
Chongqing,2026-04-17,ZUCK,exact,27,29.2,27,29,27,false,true,2.2
Seoul,2026-04-13,RKSI,exact,20,24.8,20,25,20,false,true,4.8
Madrid,2026-04-04,LEMD,exact,23,25.9,23,26,23,false,true,2.9
Buenos Aires,2026-04-19,SABE,exact,26,27,24,27,24,false,false,3
Toronto,2026-04-13,CYYZ,exact,21,21.4,21,21,21,true,true,0.4
Buenos Aires,2026-02-20,SABE,exact,31,28.5,25,29,25,false,false,3.5
Madrid,2026-04-01,LEMD,exact,19,20.1,19,20,19,false,true,1.1
Toronto,2026-04-01,CYYZ,exact,10,16.3,10,16,10,false,true,6.3
Seoul,2026-04-07,RKSI,exact,11,14.7,11,15,11,false,true,3.7
Munich,2026-04-17,EDDM,exact,20,19.9,20,20,20,true,true,-0.1
Ankara,2026-03-11,LTAC,exact,14,13.7,16,14,16,true,false,-2.3
Toronto,2026-04-16,CYYZ,exact,21,19.3,21,19,21,false,true,-1.7
Jakarta,2026-04-18,WIII,exact,34,33.4,32,33,32,false,false,1.4
Seoul,2026-04-03,RKSI,exact,19,20.4,19,20,19,false,true,1.4
Singapore,2026-04-13,WSSS,exact,34,31.7,34,32,34,false,true,-2.3
Munich,2026-03-29,EDDM,exact,6,7,6,7,6,false,true,1
London,2026-04-21,EGLL,exact,14,15.9,15,16,15,false,false,0.9
Warsaw,2026-04-20,EPWA,exact,13,19.1,13,19,13,false,true,6.1
Jakarta,2026-04-12,WIII,exact,34,33.2,33,33,33,false,false,0.2
Madrid,2026-03-25,LEMD,exact,22,22,22,22,22,true,true,0
Lucknow,2026-04-21,VILK,exact,41,42,41,42,41,false,true,1
Tokyo,2026-03-25,RJTT,exact,13,16.8,13,17,13,false,true,3.8
Lagos,2026-04-19,DNMM,exact,32,32,31,32,31,true,false,1
Munich,2026-04-01,EDDM,exact,8,8,8,8,8,true,true,0
Buenos Aires,2026-04-10,SABE,exact,24,22.5,21,23,21,false,false,1.5
Amsterdam,2026-04-06,EHAM,exact,13,14.6,13,15,13,false,true,1.6
London,2026-03-25,EGLL,exact,9,13.1,10,13,10,false,false,3.1
Guangzhou,2026-04-21,ZGGG,exact,32,30.5,32,31,32,false,true,-1.5
Wellington,2026-04-19,NZWN,exact,16,16.6,16,17,16,false,true,0.6
Lagos,2026-04-21,DNMM,exact,33,31.7,33,32,33,false,true,-1.3
Seoul,2026-04-11,RKSI,exact,12,20.5,11,21,11,false,false,9.5
Seoul,2026-04-14,RKSI,exact,23,24.8,23,25,23,false,true,1.8
Jakarta,2026-04-19,WIII,exact,34,33.4,32,33,32,false,false,1.4
Chengdu,2026-04-18,ZUUU,exact,30,28.6,30,29,30,false,true,-1.4
London,2026-03-23,EGLL,exact,15,14.9,15,15,15,true,true,-0.1
Istanbul,2026-04-19,LTFM,exact,15,17.2,15,17,15,false,true,2.2
Wuhan,2026-04-18,ZHHH,exact,29,28.7,29,29,29,true,true,-0.3
Madrid,2026-04-18,LEMD,exact,28,27.3,28,27,28,false,true,-0.7
Beijing,2026-04-21,ZBAA,exact,27,25.3,27,25,27,false,true,-1.7
Toronto,2026-04-07,CYYZ,exact,2,4.7,2,5,2,false,true,2.7
Amsterdam,2026-04-17,EHAM,exact,18,18.3,18,18,18,true,true,0.3
Tel Aviv,2026-04-17,LLBG,exact,33,35.7,33,36,33,false,true,2.7
Seoul,2026-04-18,RKSI,exact,21,29,22,29,22,false,false,7
Warsaw,2026-04-09,EPWA,exact,7,9.7,7,10,7,false,true,2.7
Manila,2026-04-20,RPLL,exact,35,34.8,35,35,35,true,true,-0.2
Seoul,2026-03-24,RKSI,exact,13,17.9,14,18,14,false,false,3.9
Jeddah,2026-04-15,OEJN,exact,36,36.5,36,37,36,false,true,0.5
Guangzhou,2026-04-20,ZGGG,exact,30,30.8,30,31,30,false,true,0.8
London,2026-04-08,EGLL,exact,24,25.9,25,26,25,false,false,0.9
London,2026-04-07,EGLL,exact,18,25.9,21,26,21,false,false,4.9
Wellington,2026-04-15,NZWN,exact,18,16.7,18,17,18,false,true,-1.3
Chicago,2026-04-21,KORD,exact,54,23.2,24.44,23,24,false,false,-1.24
Cape Town,2026-04-16,FACT,exact,21,19.9,21,20,21,false,true,-1.1
Tokyo,2026-04-05,RJTT,exact,23,23.2,23,23,23,true,true,0.2
Los Angeles,2026-04-04,KLAX,exact,80,31,29.44,31,29,false,false,1.56
New York City,2026-04-17,KNYC,or_below,≤77,33.4,26.67,33,27,false,false,6.73
Toronto,2026-03-05,CYYZ,exact,5,3.2,5,3,5,false,true,-1.8
Denver,2026-04-17,KDEN,exact,54,24.8,22.22,25,22,false,false,2.58
Warsaw,2026-04-19,EPWA,exact,19,19.1,19,19,19,true,true,0.1
Toronto,2026-03-07,CYYZ,exact,16,14.9,17,15,17,false,false,-2.1
Chicago,2026-03-07,KORD,exact,60,19.9,18.33,20,18,false,false,1.57
Atlanta,2026-03-06,KATL,exact,80,26.7,27.22,27,27,false,false,-0.52
Buenos Aires,2026-01-10,SABE,or_below,≤26,28.9,23,29,23,false,true,5.9
San Francisco,2026-04-19,KSFO,exact,70,23.4,21.67,23,22,false,false,1.73
Seattle,2026-04-20,KSEA,exact,62,18.9,22.22,19,22,false,false,-3.32
Atlanta,2026-03-12,KATL,exact,64,26.9,23.89,27,24,false,false,3.01
Atlanta,2026-03-03,KATL,exact,62,21.8,17.22,22,17,false,false,4.58
Sao Paulo,2026-02-24,SBGR,exact,28,27.5,28,28,28,true,true,-0.5
New York City,2026-03-11,KNYC,exact,56,24.4,22.78,24,23,false,false,1.62
Wellington,2026-02-26,NZWN,exact,20,21,20,21,20,false,true,1
New York City,2026-04-02,KNYC,or_below,≤59,26.6,14.44,27,14,false,true,12.16
London,2026-03-04,EGLL,or_below,≤12,17,13,17,13,false,false,4
New York City,2026-03-07,KNYC,exact,48,20.5,10,21,10,false,false,10.5
