city,date,icao,kind,winBucket,omMax,metarMax,omRounded,metarRounded,omAgrees,metarAgrees,delta
Wellington,2026-03-30,NZWN,exact,20,19.9,20,20,20,true,true,-0.1
Singapore,2026-03-25,WSSS,exact,33,34.2,33,34,33,false,true,1.2
Helsinki,2026-04-13,EFHK,exact,12,10.3,12,10,12,false,true,-1.7
Milan,2026-03-25,LIMC,exact,17,17.6,17,18,17,false,true,0.6
Buenos Aires,2026-03-30,SABE,exact,30,30.4,26,30,26,true,false,4.4
Hong Kong,2026-03-28,VHHH,exact,27,26.5,28,27,28,true,false,-1.5
Wellington,2026-04-21,NZWN,exact,12,13.3,12,13,12,false,true,1.3
Warsaw,2026-04-10,EPWA,exact,10,11.6,10,12,10,false,true,1.6
Cape Town,2026-04-20,FACT,exact,17,16.5,17,17,17,true,true,-0.5
Seoul,2026-04-05,RKSI,exact,12,19.4,12,19,12,false,true,7.4
Tel Aviv,2026-03-28,LLBG,exact,24,22.4,24,22,24,false,true,-1.6
Amsterdam,2026-04-11,EHAM,exact,17,16.6,17,17,17,true,true,-0.4
Seoul,2026-03-27,RKSI,exact,13,18.4,13,18,13,false,true,5.4
Jakarta,2026-04-15,WIII,exact,33,32.8,33,33,33,true,true,-0.2
Ankara,2026-04-18,LTAC,exact,14,22,14,22,14,false,true,8
Paris,2026-02-18,LFPG,exact,8,10.8,9,11,9,false,false,1.8
Tokyo,2026-04-03,RJTT,exact,19,18,19,18,19,false,true,-1
Tokyo,2026-04-18,RJTT,exact,21,24.5,21,25,21,false,true,3.5
Shenzhen,2026-04-17,ZGSZ,exact,29,30.3,27,30,27,false,false,3.3
Tel Aviv,2026-04-16,LLBG,exact,36,35.7,36,36,36,true,true,-0.3
Tokyo,2026-04-15,RJTT,exact,22,23.5,22,24,22,false,true,1.5
Shanghai,2026-04-19,ZSPD,exact,21,22,21,22,21,false,true,1
Amsterdam,2026-04-18,EHAM,exact,14,18.3,14,18,14,false,true,4.3
Sao Paulo,2026-04-20,SBGR,exact,26,28.6,26,29,26,false,true,2.6
Amsterdam,2026-04-05,EHAM,exact,15,15.1,15,15,15,true,true,0.1
Wellington,2026-03-12,NZWN,exact,21,22.1,22,22,22,false,false,0.1
Singapore,2026-04-14,WSSS,exact,33,31.7,34,32,34,false,false,-2.3
Jeddah,2026-04-20,OEJN,exact,33,36,33,36,33,false,true,3
Kuala Lumpur,2026-04-18,WMKK,exact,32,32.8,32,33,32,false,true,0.8
Munich,2026-04-19,EDDM,exact,17,19.9,17,20,17,false,true,2.9
Munich,2026-04-20,EDDM,exact,14,15.8,14,16,14,false,true,1.8
Jakarta,2026-04-13,WIII,exact,34,33.2,33,33,33,false,false,0.2
Tokyo,2026-04-20,RJTT,exact,22,24.8,22,25,22,false,true,2.8
Taipei,2026-04-19,RCTP,exact,28,29.7,27,30,27,false,false,2.7
Milan,2026-04-14,LIMC,exact,19,20.7,19,21,19,false,true,1.7
Amsterdam,2026-04-16,EHAM,exact,16,18.3,16,18,16,false,true,2.3
Helsinki,2026-04-16,EFHK,exact,12,15.2,12,15,12,false,true,3.2
Wellington,2026-04-01,NZWN,exact,17,18.4,19,18,19,false,false,-0.6
Jeddah,2026-04-17,OEJN,exact,41,39.5,41,40,41,false,true,-1.5
Sao Paulo,2026-03-26,SBGR,exact,30,29.9,30,30,30,true,true,-0.1
Paris,2026-04-19,LFPG,exact,18,21.9,17,22,17,false,false,4.9
Seoul,2026-04-12,RKSI,exact,19,24.2,19,24,19,false,true,5.2
Paris,2026-03-25,LFPG,exact,13,16.9,12,17,12,false,false,4.9
Beijing,2026-04-13,ZBAA,exact,18,26.4,18,26,18,false,true,8.4
Sao Paulo,2026-04-17,SBGR,exact,30,29.5,30,30,30,true,true,-0.5
Tokyo,2026-04-16,RJTT,exact,21,23,21,23,21,false,true,2
Milan,2026-04-19,LIMC,exact,24,25.6,24,26,24,false,true,1.6
Busan,2026-04-16,RKPK,exact,21,19.8,21,20,21,false,true,-1.2
Seoul,2026-04-08,RKSI,exact,13,14.7,13,15,13,false,true,1.7
Chongqing,2026-04-19,ZUCK,exact,28,30.1,28,30,28,false,true,2.1
Kuala Lumpur,2026-04-20,WMKK,exact,33,33,33,33,33,true,true,0
Lucknow,2026-04-03,VILK,exact,36,37.7,36,38,36,false,true,1.7
Busan,2026-04-20,RKPK,exact,22,21.4,22,21,22,false,true,-0.6
Madrid,2026-04-21,LEMD,exact,26,27.8,26,28,26,false,true,1.8
Milan,2026-04-20,LIMC,exact,21,22.8,23,23,23,false,false,-0.2
Wuhan,2026-04-19,ZHHH,exact,30,28.7,30,29,30,false,true,-1.3
Chongqing,2026-04-13,ZUCK,exact,21,24,21,24,21,false,true,3
Buenos Aires,2026-04-09,SABE,exact,21,22.2,20,22,20,false,false,2.2
Hong Kong,2026-03-27,VHHH,exact,26,26.5,29,27,29,false,false,-2.5
Mexico City,2026-04-13,MMMX,exact,25,26.4,25,26,25,false,true,1.4
Shenzhen,2026-04-16,ZGSZ,exact,31,30.4,29,30,29,false,false,1.4
Seoul,2026-03-30,RKSI,exact,18,18.6,18,19,18,false,true,0.6
Shenzhen,2026-04-20,ZGSZ,exact,30,30.6,28,31,28,false,false,2.6
London,2026-04-17,EGLL,exact,18,17.6,18,18,18,true,true,-0.4
Hong Kong,2026-04-01,VHHH,exact,27,28.5,26,29,26,false,false,2.5
Tel Aviv,2026-04-20,LLBG,exact,21,22,21,22,21,false,true,1
Seoul,2026-04-15,RKSI,exact,21,25.4,21,25,21,false,true,4.4
Tokyo,2026-04-19,RJTT,exact,23,24.5,23,25,23,false,true,1.5
Shenzhen,2026-03-25,ZGSZ,exact,28,31,29,31,29,false,false,2
Munich,2026-03-27,EDDM,exact,7,7,7,7,7,true,true,0
