snapshot_ts,snapshot_dt,city,date,condition_id,bucket_kind,bucket_lo_c,bucket_hi_c,obs_max_c,obs_max_age_h,current_temp_c,ttr_h,bucket_rel,signed_dist_c,abs_dist_c,yes_price,no_price,yes_price_age_s,no_price_age_s,n_ticks_1h,n_ticks_total,group_size,rank_by_abs_dist,rank_by_yes_price,rank_by_no_price,label,entered_side,entered_price,entered_usdc,entered_pnl,entry_type
1770829663,2026-02-11T17:07:43.000Z,Buenos Aires,2026-02-11,0xf9bcc8ac3e65d844aa49ab6bf2bdd79f266fb647f97a441eb831acddde084c19,or_below,,32,33.5,22.13,30.6,9.87,above_obs,-1.5,1.5,0.76,0.23,556,468,14,64,1,1,1,1,1,YES,0.8499994474992542,0.9944993535741273,0.07020064642587265,closed
1770998545,2026-02-13T16:02:25.000Z,Buenos Aires,2026-02-13,0xd6da8d82a129ec05c8c3f86655b43771b749a4ac8d633e630bbca2a7a1baa54d,exact,28,28,26.8,40.04,26.6,10.96,below_obs,1.2,1.2,0.12,0.88,984,278,7,14,2,2,2,1,0,,,,,
1770998545,2026-02-13T16:02:25.000Z,Buenos Aires,2026-02-13,0xe8c0411a7d9a162ca2926f4caa2c66c96d64df7c4db7ab90e1e184f5ca6b6ce9,or_below,,27,26.8,40.04,26.6,10.96,contains,0,0,0.01,0.99,92,846,16,46,2,1,1,2,1,NO,0.99,9.9,0.08999999999999986,closed
1771002143,2026-02-13T17:02:23.000Z,Buenos Aires,2026-02-13,0xd6da8d82a129ec05c8c3f86655b43771b749a4ac8d633e630bbca2a7a1baa54d,exact,28,28,27.2,0.04,27.2,9.96,below_obs,0.8,0.8,0.12,0.91,300,8,29,43,2,2,2,1,1,NO,0.9099999999999999,9.1,0.8900000000000006,closed
1771002143,2026-02-13T17:02:23.000Z,Buenos Aires,2026-02-13,0xe8c0411a7d9a162ca2926f4caa2c66c96d64df7c4db7ab90e1e184f5ca6b6ce9,or_below,,27,27.2,0.04,27.2,9.96,above_obs,-0.2,0.2,0.001,0.999,2944,658,20,66,2,1,1,2,0,,,,,
1771092141,2026-02-14T18:02:21.000Z,Buenos Aires,2026-02-14,0x1177a9a2103260b068ff1eefd2f5971e5b7c053341d6dece2d3a37934495da80,exact,28,28,27.2,25.04,26.2,8.96,below_obs,0.8,0.8,0.39091624508150646,0.6,178,170,11,25,1,1,1,1,1,NO,0.902376833976834,233.7156,25.02539999999999,closed
1771261123,2026-02-16T16:58:43.000Z,Sao Paulo,2026-02-16,0x2380a73f0708cac01fefe4309e68f230c9747c5882c66ad1d0bddaf5f6ae4734,exact,32,32,32.8,0.98,32.8,10.02,above_obs,-0.8,0.8,0.24282845668387837,0.9199999953535307,246,2,15,18,2,1,2,1,1,NO,0.9810071908186105,618.0051000000001,11.334929999999986,closed
1771261123,2026-02-16T16:58:43.000Z,Sao Paulo,2026-02-16,0x9c614b4b815372c8e9687911e2f420b08c17922af1fe2f62247e96c1306eab77,exact,34,34,32.8,0.98,32.8,10.02,below_obs,1.2,1.2,0.03,0.9699999980599977,152834,149266,0,59,2,2,1,2,0,,,,,
1771351339,2026-02-17T18:02:19.000Z,Buenos Aires,2026-02-17,0x40fd7d3bbda1d883e06fe17da4e77dcfc64539264522ec15f40b14639b36bb76,or_below,,30,28,26.04,28,8.96,contains,0,0,0.39260204964987355,0.6676167778836988,954,154,32,111,2,1,2,1,1,NO,0.9363505562226703,826.55409,55.30317000000002,closed
1771351339,2026-02-17T18:02:19.000Z,Buenos Aires,2026-02-17,0xbcbf33ce9b2da3d835cc0f1beb1191b1880606c1aac071fe3830825fb554da91,exact,38,38,28,26.04,28,8.96,below_obs,10,10,0.01,0.995,192222,195244,0,13,2,2,1,2,0,,,,,
1771333189,2026-02-17T12:59:49.000Z,Sao Paulo,2026-02-17,0x2ef7643d7592a3103a6a140f64bb2998a6bfc3c1bd23315752ed17a219f1ef5f,or_below,,27,33.6,20,28.5,14,above_obs,-6.6,6.6,0.024,0.9689999911908157,898,966,30,342,2,2,2,1,1,NO,0.9970000000000001,4.985,0.009999999999999787,closed
1771333189,2026-02-17T12:59:49.000Z,Sao Paulo,2026-02-17,0x94a5d1712243ee0e9353ff73f3997a125e4ca3cd192cefb220ec882446f77e99,exact,34,34,33.6,20,28.5,14,below_obs,0.4,0.4,0.02,0.98,177866,177734,0,9,2,1,1,2,0,,,,,
1771163851,2026-02-15T13:57:31.000Z,Sao Paulo,2026-02-15,0x9d3e4a26832e76e855eebaa6f56be957d2c29935a6dba14a290d67adc54200ea,exact,30,30,28.9,20.96,26.6,13.04,below_obs,1.1,1.1,,,,,0,0,2,1,,,0,,,,,
1771163851,2026-02-15T13:57:31.000Z,Sao Paulo,2026-02-15,0xdcedd3f1fcb8b0236eb67b2f30b8a7da2a05fca1f0c894dc17b68b4d04e3645c,or_below,,27,28.9,20.96,26.6,13.04,above_obs,-1.9,1.9,0.006,0.99,1650,2276,2,10,2,2,1,1,1,NO,0.9960859512440312,237.80556,0.695699999999988,closed
1771171037,2026-02-15T15:57:17.000Z,Sao Paulo,2026-02-15,0x9d3e4a26832e76e855eebaa6f56be957d2c29935a6dba14a290d67adc54200ea,exact,30,30,30.6,0.95,30.6,11.04,above_obs,-0.6,0.6,0.09,0.9,1184,2892,5,11,2,1,2,1,1,NO,0.9649105279952871,786.1898,27.77541999999994,closed
1771171037,2026-02-15T15:57:17.000Z,Sao Paulo,2026-02-15,0xdcedd3f1fcb8b0236eb67b2f30b8a7da2a05fca1f0c894dc17b68b4d04e3645c,or_below,,27,30.6,0.95,30.6,11.04,above_obs,-3.6,3.6,0.006,0.999,8836,4272,0,34,2,2,1,2,0,,,,,
1771178545,2026-02-15T18:02:25.000Z,Buenos Aires,2026-02-15,0x05e9c0f56314ef88adc8d0027c5051b4966e84a2e9d26c3d292d18babd2f220a,exact,28,28,27.6,0.04,27.6,8.96,below_obs,0.4,0.4,0.04,0.9,44,946,12,40,1,1,1,1,1,NO,0.9849547297297297,874.6398,12.47219999999993,closed
1771253905,2026-02-16T14:58:25.000Z,Paris,2026-02-16,0x3d01ceb2c747b4cafda21fc8aba3ae2139feae36e0a298079eeb9449e1c58a65,exact,10,10,9.9,0.97,9.9,8.03,below_obs,0.1,0.1,0.9769998511051632,0.09,450,1986,30,115,1,1,1,1,1,NO,0.42069956,420.69955999999996,578.30044,closed
1771264941,2026-02-16T18:02:21.000Z,Buenos Aires,2026-02-16,0xfa9e95bc5814d7b166ceac6b5fce4a14a4ab171f35348703a8a33b9828c25b16,exact,32,32,28.3,21.04,27.5,8.96,below_obs,3.7,3.7,0.48999998137999884,0.5,516,64,15,41,1,1,1,1,1,NO,0.9455555466482819,1179.5049,66.66768000000025,closed
1771442966,2026-02-18T19:29:26.000Z,Paris,2026-02-18,0x0b6de96cd52cb3ad0e5449f02771bbdeb9b1e7f01e43afd6d71a3292968eca93,exact,8,8,8.4,1.49,8.4,3.51,above_obs,-0.4,0.4,0.983,0.028,10,110,63,87,1,1,1,1,1,YES,0.9954686658159648,1685.04972,5.9775600000000395,closed
1771603074,2026-02-20T15:57:54.000Z,Sao Paulo,2026-02-20,0x9b9ba28c2ff828692a0b7f8e212555094310e1a2517105f2a610eeef348b73de,exact,29,29,29.5,0.96,29.5,11.03,above_obs,-0.5,0.5,0.06981411990575094,0.988,238,1406,10,30,1,1,1,1,1,NO,0.9899474018783578,482.75775,4.414590000000032,closed
1771614226,2026-02-20T19:03:46.000Z,Buenos Aires,2026-02-20,0x2bd3a46eaa9eccebdb2660faebefdce43b370dbb50c34895d328bf97adb25f4e,exact,31,31,28.5,23.06,26.6,7.94,below_obs,2.5,2.5,0.9873476830052494,0.64,890,4056,4,22,1,1,1,1,1,NO,0.76793451,767.93451,-766.7604,closed
1771768906,2026-02-22T14:01:46.000Z,Sao Paulo,2026-02-22,0x66c942a597c031f615ecaa9cecb9ff565d110983b6d5a248b646aa9f5dc1d463,exact,26,26,29.8,22.03,25.2,12.97,above_obs,-3.8,3.8,0.42999995054998097,0.58,126,7270,2,13,1,1,1,1,1,NO,0.9517216,475.8608,23.639200000000017,closed
